comment_id,youtube_id,username,comment,rule_sentiment,rule_sentiment_updated,date (month ago),crawl date,anggaran tarikh komen crawl - date,,
C001,V001,@amamss4263,YB Rafizi memang terbukti sebagai salah seorg pakar ekonomi didlm negara iniëç,Positive,Positive,3,10/7/2025,,,
C002,V001,@rizduanzainal3445,Padat dengan fakta yg tepat dan relevant. Syabas YB Rafizi. Moga usaha mu dan kesemua menteri Madani akan sentiasa diberkati Allah SWT.,Positive,Positive,3,10/7/2025,,,
C003,V001,@OrangTiongHuaBiasa,"Kita Paham Yang Kenaikan Gaji Ini Bukannya Sekelip Mata Boleh Paksa Naik, Especially Kerajaan Madani Ambih Alih Selepas Covid19 Melanda, Sy Percaya DSRR Tried The Best..ëç",Positive,Positive,3,10/7/2025,,,
C004,V001,@MohdFarizal-n6p,Terbaik Rafizi Ramli.....ini yg rakyat mahukan Selama Ini kerajaan Agung bersama pmx da berjaya naikkan gaji rakyat pencen rakyat pesawah dibantu walau hanye 2 tahun memegang kuasa...... IsnyaAllah rakyat akan kekalkn pemerintahan ini Aaaammmiiin,Positive,Positive,3,10/7/2025,,,
C005,V001,@budiyanshahadul8733,Ada d antara syarikat d Malaysia masih culas bab kenaikan gaji minimum..macam ada unsur sabotaj dan naikkan gaji pun macam tak ikhlas,Negative,Neutral,3,10/7/2025,,,Analisis graph sentimen(%) x tarikh (3 - 4 bulan) - bar chart
C006,V001,@norazlinakamaruzaman1421,Alhamdulillah seorang pemimpin yg ALIM..... semoga DSRR sentiasa dlm ampunan dan a'affiah..... Malaysia Madani terus komited....... aamiin YA ROBB bi Iznillah,Positive,Positive,3,10/7/2025,,,
C007,V001,@ziepaulibrahim4980,Steady datuk Sri rafizi teruskan Usha.... Daripada mat jargon formula cetak duit  idea bodoh xboleh pakai..,Negative,Negative,3,10/7/2025,,,
C008,V001,@SharifahSaadiahBintiSyedAb-d7t,Teruskan perjuangan Dato' Seri...kami sentiasa mendoakan...,Positive,Positive,3,10/7/2025,,,Analisis by theme of vid x sentimen (%)
C009,V001,@MattiusMujah,Terbaik DS RR my my madani,Positive,Positive,3,10/7/2025,,,
C010,V001,@ijamraul,"Mantap, DSRR lah pejuang gaji2 pekerja2 di Msia..tak kira samada kerajaan mahupun swasta...harap semua nampak langkah terbaik dari Kerajaan Madani..jgn hanya live in denial je..sama2 sokong benda baik. Akhirnya utk kita, kalau tak pun anak cucu, sedara mara kita yg bekerja..tempiasnya InsyaAllah dpt jgk kita merasa..cth mereka dpt beli brg2 keperluan, tambah baik kehidupan..secara langsung jugak tidak langsung....fikir2kan ...",Positive,Positive,3,10/7/2025,,,
